Annotation_Label,CL_Label,CL_ID,CL_Match
cell,cell,CL:0000000,
epithelial cell,epithelial cell,CL:0000066,
glandular epithelial cell,glandular epithelial cell,CL:0000150,
epidermal cell,epidermal cell,CL:0000362,
primary cultured cell,primary cultured cell,CL:0000001,
native cell,obsolete native cell,CL:0000003,
fibroblast neural crest derived,fibroblast neural crest derived,CL:0000005,
neuronal receptor cell,neuronal receptor cell,CL:0000006,
early embryonic cell (metazoa),early embryonic cell (metazoa),CL:0000007,
migratory cranial neural crest cell,migratory cranial neural crest cell,CL:0000008,
cultured cell,cultured cell,CL:0000010,
migratory trunk neural crest cell,migratory trunk neural crest cell,CL:0000011,
germ line stem cell,germ line stem cell,CL:0000014,
male germ cell,male germ cell,CL:0000015,
male germ line stem cell,male germ line stem cell,CL:0000016,
spermatocyte,spermatocyte,CL:0000017,
spermatid,spermatid,CL:0000018,
sperm,sperm,CL:0000019,
spermatogonium,spermatogonium,CL:0000020,
female germ cell,female germ cell,CL:0000021,
female germ line stem cell,female germ line stem cell,CL:0000022,
oocyte,oocyte,CL:0000023,
oogonial cell,oogonial cell,CL:0000024,
egg cell,egg cell,CL:0000025,
invertebrate nurse cell,invertebrate nurse cell,CL:0000026,
smooth muscle cell neural crest derived,smooth muscle cell neural crest derived,CL:0000027,
CNS neuron (sensu Nematoda and Protostomia),CNS neuron (sensu Nematoda and Protostomia),CL:0000028,
neural crest derived neuron,neural crest derived neuron,CL:0000029,
glioblast,glioblast,CL:0000030,
neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),CL:0000031,
neuroplacodal cell,neuroplacodal cell,CL:0000032,
apocrine cell,apocrine cell,CL:0000033,
stem cell,stem cell,CL:0000034,
single fate stem cell,single fate stem cell,CL:0000035,
epithelial fate stem cell,epithelial fate stem cell,CL:0000036,
hematopoietic stem cell,hematopoietic stem cell,CL:0000037,
erythroid progenitor cell,erythroid progenitor cell,CL:0000038,
germ line cell,germ line cell,CL:0000039,
monoblast,monoblast,CL:0000040,
mature eosinophil,mature eosinophil,CL:0000041,
neutrophilic myeloblast,neutrophilic myeloblast,CL:0000042,
mature basophil,mature basophil,CL:0000043,
neural stem cell,neural stem cell,CL:0000047,
multi fate stem cell,multi fate stem cell,CL:0000048,
common myeloid progenitor,common myeloid progenitor,CL:0000049,
megakaryocyte-erythroid progenitor cell,megakaryocyte-erythroid progenitor cell,CL:0000050,
